"MOHIT PATEL",BCA,7060993829,"Sorry For Today",Late
"MOHIT PATEL",MCA,7060993826,"Sorry for the Late Today",Late
"MOHIT PATEL",MCA,7060993826,"Ghar jana hai",Early
"MOHIT PATEL",BCA,7060993829,"Ghar pe Khana nahi bana",Late
"MOHIT PATEL",BCA,7060993829,"Subh Late Utha tha",Late
"MOHIT PATEL",MCA,7060993826,"Kahi Jana Hai",Early
"MOHIT PATEL",MCA,7060993826,"lata utha",Late
"MOHIT PATEL",MCA,7060993826,fever,Early
"MOHIT PATEL",MCA,7060993826,"Sorry for today",Late
"MOHIT KUMAR",MCA,13123213222,"Some Problem at home",Late
"MOHIT PAL",BCA,7060993824,"Ghar se phone aya ha",Early
"MOHIT KUMAR",MCA,13123213222,"Some work Problem",Late
"MOHIT KANAUZIYA",BCA,13123213222,"Any Reason",Late
"MOHIT PAL",BCA,7060993824,"Ghar Jana Ha",Early
"MOHIT PATEL",BCA,7060993829,Hello,Late
"MOHIT PATEL",MCA,7060993826,adaf,Late
"MOHIT PAL",BCA,7060993824,"No reason",Early
"MOHIT KUMAR",MCA,1312321322,"not late",Late
"MOHIT PATEL","LLB ",7060993825,"Sorry for today
",Late
"MOHIT PATEL",MCA,7060993826,"kABHI Kabhi Late hona chahiye",Late
"MOHIT KUMAR",MCA,1312321322,"Kaam tha",Late
"MOHIT PATEL",BBA,8077139221,"Kaa Baat Ha",Late
"MOHIT KANAUZIYA",BCA,1312321322,"Kaa Baat Ha",Late
"MOHIT KUMAR",MCA,1312321322,"Kaa Baat Ha",Early
"MOHIT PAL",BCA,7060993824,"Kaa Baat Ha",Early
"MOHIT KANAUZIYA",BCA,1312321322,"Kaa Baat Ha",Early
"MOHIT PATEL",MCA,7060993826,Nope,Late
"MOHIT PATEL","BA+LLB ",7060993826,"go to home back",Late
"MOHIT PATEL",MA,7788669922,ghjkkj,Late
"MOHIT PATEL",BAMS,7788669956,gfdsdfgh,Late
"MOHIT PATEL",M.COM,8077139224,fhfchgchg,Early
"MOHIT PATEL",B.COM,8077139221,"Hello Bhai",Early
"MOHIT PATEL",BAMS,7788669956,"Kyu Rok rahe ho",Late
"MOHIT PATEL","BA+LLB ",7060993826,"Girlfriend se milne jana ha",Early
"MOHIT PATEL","BA+LLB ",7060993826,"kabhi kabhi",Late
"MOHIT PATEL","LLB ",7060993825,"koi ni",Late
"MOHIT PATEL","LLB ",7060993825,"kab se",Late
"MOHIT KANAUZIYA",BCA,1312321322,"koi ni",Late
"MOHIT PATEL",B.COM,8077139221,kfghjk,Late
"MOHIT KUMAR",MCA,1312321322,"Pata nahi",Late
"MOHIT PAL",BCA,7060993824,"KAb late huye",Late
"MOHIT PATEL",BBA,8077139221,"Kaam tha",Late
"MOHIT PATEL","LLB ",7060993825,"Kaam karta hu ghar pr",Late
"MOHIT PATEL",BAMS,7788669956,"Hospital ma tha",Early
"MOHIT KANAUZIYA",BCA,1312321322,sdfjkl,Early
"MOHIT PATEL",B.SC,8578966523,lihdfgdhjkhkhf,Late
"MOHIT PATEL",B.SC,8578966523,dfgl;lfd,Early
"MOHIT PATEL",B.SC,8578966523,fgj;jlkjhghfg,Early
"MOHIT KUMAR",MCA,1312321322,fdghjkjhdfg,Early
"MOHIT PATEL",BBA,8077139221,sdfghjklk,Late
"MOHIT PATEL",BBA,8077139221,"ka baat ha",Late
"MOHIT PATEL",BBA,8077139221,"jo bhi ",Early
"MOHIT KUMAR",MCA,1312321322,"ham Kaha Ha late",Early
"MOHIT PATEL","LLB ",7060993825,sjkl,Late
"MOHIT PAL",BCA,7060993824,lkjhgfds,Early
"KULDEEP GANGWAR",MCA,7060993824,"Kaam Kar ke ata ha",Late
"PRAHLAD SINGH",LLB,9865752528,"Hospital jana pada",Late
"MOHIT PAL",BCA,7060993824,dfghjkl,Late
"MOHIT KANAUZIYA",BCA,1312321322,kjhfd,Late
"MOHIT PATEL",BBA,8077139221,ertyuio,Late
"MOHIT PATEL",MBA,7805563123,sdfghjkl,Late
"MOHIT PATEL","LLB ",7060993825,ljhgfds,Late
"PRAHLAD SINGH",BCA,9865762528,asdfghjkl,Late
"MOHIT PATEL",MCA,7060993826,"Emergency at home",Early
"MOHIT PATEL",MCA,7060993826,,Early
"MOHIT KUMAR",MCA,1312321322,sdfghjk,Late
